Size,InsertionSort Time (ms),QuickSort Time (ms),MergeSort Time (ms),InsertionSort Ops,QuickSort Ops,MergeSort Ops
1000,0.017,6.0235,0.3104,999,999999,15020
2000,0.0132,29.5641,0.6509,1999,3999999,33040
3000,0.0198,63.1143,0.9604,2999,8999999,52980
4000,0.026,90.553,0.9889,3999,15999999,72080
5000,0.0254,116.738,1.3264,4999,24999999,93812
6000,0.0359,194.235,1.639,5999,35999999,114960
7000,0.0414,269.789,2.0323,6999,48999999,135988
8000,0.0405,318.028,2.1544,7999,63999999,156160
9000,0.0921,346.368,2.1311,8999,80999999,179412
10000,0.1451,418.163,7.1111,9999,99999999,202624
