Size,InsertionSort Time (ms),QuickSort Time (ms),MergeSort Time (ms),InsertionSort Ops,QuickSort Ops,MergeSort Ops
1000,2.602,0.2849,0.8046,517483,18550,18696
2000,9.7883,0.6139,2.5418,1971654,40223,41401
3000,24.4989,0.7503,2.1569,4557693,59711,65825
4000,37.0392,1.1314,2.8122,7984872,83357,90718
5000,55.1941,1.1314,2.3437,12468711,133203,117009
6000,62.4043,1.1096,2.6461,18075421,137993,143593
7000,74.7006,1.3622,3.1447,24581430,163002,170579
8000,93.1923,1.5769,3.692,31849316,193825,197411
9000,119.099,1.7115,4.1512,39852252,204873,225584
10000,148.636,2.1591,4.6319,49784948,240078,254087
