Size , InsertionSort Time (ms), QuickSort Time (ms), MergeSort Time (ms), InsertionSort Ops, QuickSort Ops, MergeSort Ops
 1000,                  2.4462,              0.352 ,              1.0654,            490726,         24095,         18683
 2000,                 13.632 ,              0.7728,              2.0267,           1993514,         67553,         41308
 3000,                 12.4474,              0.5729,              1.0865,           4434023,        125774,         65794
 4000,                 21.4649,              0.9445,              1.1296,           7930426,        212370,         90651
 5000,                 36.7645,              2.586 ,              1.4038,          12513750,        314813,        116841
 6000,                 37.9479,              2.4244,              2.6215,          17807371,        448096,        143550
 7000,                 67.2578,              2.6202,              2.0404,          24465927,        599339,        170417
 8000,                 66.1393,              3.6838,              2.6481,          31545927,        747206,        197347
 9000,                 84.8958,              3.9058,              2.6647,          40005317,        945438,        225385
10000,                107.028 ,              4.8162,              3.7215,          49250670,       1136436,        253832
